,id,first_name,second_name,team_name,team_id,type_name,now_cost,chance_of_playing_next_round,chance_of_playing_this_round,minutes,form,bonus_form_t1,fantasy_form_t1,cost_t1,own_team_form,home,next_team_t,next_team_pos,fantasy_points_t
37,38,Ciaran,Clark,Aston Villa,2,Defender,43,100.0,100.0,812,0.3,43,2,45,1,True,STK,14,0
38,39,Jores,Okore,Aston Villa,2,Defender,44,100.0,100.0,990,1.8,0,0,44,1,True,STK,14,0
39,40,Nathan,Baker,Aston Villa,2,Defender,40,0.0,0.0,0,0.0,0,0,40,1,True,STK,14,0
40,41,Lewis,Kinsella,Aston Villa,2,Defender,38,,,0,0.0,0,0,39,1,True,STK,14,0
41,42,Micah,Richards,Aston Villa,2,Defender,43,100.0,100.0,1704,1.5,102,11,46,1,True,STK,14,2
42,43,Fabian,Delph,Man City,9,Midfielder,54,0.0,0.0,514,0.3,5,2,55,3,True,NEW,20,0
43,44,Carles,Gil de Pareja Vicent,Aston Villa,2,Midfielder,46,100.0,100.0,1229,2.8,37,9,48,1,True,STK,14,1
44,45,Charles,N'Zogbia,Aston Villa,2,Midfielder,45,,,43,0.0,0,0,47,1,True,STK,14,0
45,46,Joe,Cole,Aston Villa,2,Midfielder,47,0.0,0.0,0,0.0,0,0,48,1,True,STK,14,0
46,47,Jack,Grealish,Aston Villa,2,Midfielder,52,0.0,0.0,762,0.0,54,11,54,1,True,STK,14,1
47,48,Scott,Sinclair,Aston Villa,2,Midfielder,42,,,1131,0.8,46,18,50,1,True,STK,14,1
48,49,Ashley,Westwood,Aston Villa,2,Midfielder,42,100.0,100.0,1747,1.5,73,11,45,1,True,STK,14,1
49,50,Carlos,Sánchez,Aston Villa,2,Midfielder,43,0.0,0.0,1043,0.0,78,10,44,1,True,STK,14,0
50,51,Christian,Benteke,Liverpool,8,Forward,80,100.0,100.0,1234,0.7,64,20,84,1,False,EVE,7,0
51,52,Gabriel,Agbonlahor,Aston Villa,2,Forward,47,100.0,100.0,880,3.0,23,11,49,1,True,STK,14,0
52,53,Libor,Kozák,Aston Villa,2,Forward,44,0.0,0.0,258,0.0,0,0,46,1,True,STK,14,0
53,54,Rushian,Hepburn-Murphy,Aston Villa,2,Forward,41,,,0,0.0,0,0,44,1,True,STK,14,0
54,55,Artur,Boruc,Bournemouth,3,Goalkeeper,45,100.0,100.0,1980,3.0,62,11,45,3,True,WAT,11,2
55,56,Adam,Federici,Bournemouth,3,Goalkeeper,44,100.0,100.0,405,0.0,0,0,44,3,True,WAT,11,0
56,57,Simon,Francis,Bournemouth,3,Defender,41,,,2396,2.8,128,21,45,3,True,WAT,11,2
57,58,Steve,Cook,Bournemouth,3,Defender,42,100.0,100.0,2205,2.8,93,19,44,3,True,WAT,11,2
58,59,Tommy,Elphick,Bournemouth,3,Defender,42,100.0,100.0,450,0.0,50,6,45,3,True,WAT,11,0
59,60,Charlie,Daniels,Bournemouth,3,Defender,47,100.0,100.0,2295,5.5,76,13,45,3,True,WAT,11,2
60,61,Adam,Smith,Bournemouth,3,Defender,41,,,1673,2.3,31,4,40,3,True,WAT,11,1
61,62,Tyrone,Mings,Bournemouth,3,Defender,41,0.0,0.0,11,0.0,3,1,43,3,True,WAT,11,0
62,63,Sylvain,Distin,Bournemouth,3,Defender,40,100.0,100.0,842,0.3,27,6,43,3,True,WAT,11,2
63,64,Matt,Ritchie,Bournemouth,3,Midfielder,53,100.0,100.0,2149,4.3,59,14,57,3,True,WAT,11,6
