listing_id,date
694368,2014-04-01
694368,2014-04-12
694368,2014-04-18
694368,2014-05-27
694368,2014-06-16
694368,2014-06-25
694368,2014-06-28
694368,2014-07-11
694368,2014-07-15
694368,2014-08-03
694368,2014-08-04
694368,2014-08-20
694368,2014-08-31
694368,2014-09-05
694368,2014-09-10
694368,2014-09-14
694368,2014-09-16
694368,2014-09-19
694368,2014-09-26
694368,2014-10-19
694368,2015-08-13
3402060,2014-06-26
3402060,2014-07-08
3402060,2014-07-16
2449024,2014-03-22
2449024,2014-03-24
2449024,2014-04-07
2449024,2014-06-02
2449024,2014-07-22
2449024,2014-08-11
2449024,2014-09-03
2449024,2014-10-03
2449024,2015-05-11
2449024,2015-05-24
2449024,2015-06-22
2449024,2015-06-29
2449024,2015-08-10
1589545,2013-09-07
1589545,2013-10-01
1589545,2013-10-16
1589545,2013-10-21
1589545,2013-11-24
1589545,2013-12-02
1589545,2014-02-05
1589545,2014-02-18
1589545,2014-04-14
1589545,2014-04-23
1589545,2014-05-02
1589545,2014-06-07
1589545,2014-08-17
1589545,2014-08-25
1589545,2014-09-02
1589545,2014-12-01
1589545,2014-12-16
1589545,2015-04-08
1589545,2015-08-17
1589545,2015-09-18
1589545,2015-09-28
731591,2012-10-30
731591,2012-11-07
731591,2013-02-05
731591,2013-02-11
731591,2013-06-13
731591,2013-06-17
731591,2013-06-21
731591,2013-06-24
731591,2013-08-16
731591,2013-09-05
731591,2013-11-19
731591,2014-05-01
731591,2014-05-03
731591,2014-05-07
731591,2015-02-16
4416566,2015-05-23
4416566,2015-09-19
6795093,2015-08-31
3668266,2014-08-15
3668266,2014-08-31
3668266,2014-09-03
3668266,2014-09-22
3668266,2015-03-07
3668266,2015-05-19
3668266,2015-06-12
3668266,2015-06-30
5375021,2015-03-02
5375021,2015-03-18
5375021,2015-03-24
5375021,2015-04-12
5375021,2015-04-16
5375021,2015-04-17
5375021,2015-04-25
5375021,2015-04-29
5375021,2015-05-06
5375021,2015-05-07
5375021,2015-05-10
5375021,2015-05-15
5375021,2015-05-21
5375021,2015-05-23
5375021,2015-05-25
5375021,2015-05-26
5375021,2015-06-02
5375021,2015-06-12
5375021,2015-06-29
5375021,2015-07-10
5375021,2015-07-12
5375021,2015-07-24
5375021,2015-08-25
5375021,2015-09-21
5375021,2015-10-02
5375021,2015-10-04
5375021,2015-10-09
5375021,2015-10-12
5375021,2015-10-13
5375021,2015-10-14
5375021,2015-10-17
5375021,2015-10-18
8276064,2015-10-03
7345053,2015-07-31
7345053,2015-08-08
7345053,2015-08-14
7345053,2015-09-04
7345053,2015-09-10
7345053,2015-09-15
7345053,2015-09-21
7345053,2015-10-19
6853366,2015-06-21
6853366,2015-06-28
6853366,2015-06-30
6853366,2015-07-06
6853366,2015-07-16
6853366,2015-07-18
6853366,2015-07-27
6853366,2015-08-12
6853366,2015-08-27
6853366,2015-09-19
7223567,2015-07-13
7223567,2015-08-04
7223567,2015-08-07
7223567,2015-09-16
8239959,2015-09-14
8239959,2015-09-18
8239959,2015-10-07
8239959,2015-10-13
11395,2010-02-15
11395,2010-10-03
11395,2011-05-25
11395,2011-05-31
11395,2011-08-27
11395,2011-08-31
11395,2011-09-30
11395,2011-10-04
11395,2011-10-10
11395,2012-04-30
11395,2012-05-28
11395,2012-06-04
11395,2012-06-25
11395,2012-07-02
11395,2012-07-16
11395,2012-09-27
11395,2012-10-02
11395,2012-10-08
11395,2013-02-20
11395,2013-06-15
11395,2013-09-23
11395,2013-10-22
11395,2013-12-16
11395,2014-05-26
11395,2014-05-29
11395,2014-07-07
11395,2014-07-22
11395,2014-08-18
11395,2014-09-20
11395,2014-09-25
11395,2014-09-25
11395,2014-09-30
5774421,2015-06-16
5774421,2015-06-26
5774421,2015-07-29
5774421,2015-08-05
5774421,2015-10-08
4058147,2014-09-11
4058147,2014-12-12
6888361,2015-07-06
6888361,2015-07-11
6888361,2015-07-13
6888361,2015-08-10
6888361,2015-08-31
6888361,2015-09-14
6888361,2015-10-12
2093811,2015-10-26
859310,2013-01-02
859310,2013-01-21
859310,2013-03-03
859310,2013-03-20
7681437,2015-09-25
4128942,2014-12-21
4128942,2015-05-02
4128942,2015-07-18
6856126,2015-08-28
611132,2013-02-01
611132,2013-03-04
611132,2013-03-18
611132,2013-03-26
611132,2013-05-25
611132,2013-06-23
611132,2013-06-30
611132,2013-07-05
611132,2013-07-10
611132,2013-07-19
611132,2013-07-31
611132,2013-08-04
611132,2013-08-25
611132,2013-09-08
611132,2013-09-16
611132,2013-09-21
611132,2013-09-24
611132,2013-09-28
611132,2013-10-14
611132,2013-10-24
611132,2013-10-27
611132,2013-11-05
611132,2013-11-11
611132,2013-11-17
611132,2013-11-25
611132,2013-12-02
611132,2013-12-20
611132,2014-01-27
611132,2014-02-06
611132,2014-02-25
611132,2014-02-28
611132,2014-03-03
611132,2014-03-15
611132,2014-03-22
611132,2014-03-29
611132,2014-03-31
611132,2014-04-03
611132,2014-04-14
611132,2014-04-16
611132,2014-04-20
611132,2014-04-27
